NPartida,Time,Apelido,Cartao
1,Flamengo - RJ,Fabricio Bruno,Y
1,Flamengo - RJ,Gabriel Barbosa,Y
1,Flamengo - RJ,Marinho,Y
2,Botafogo - RJ,Carlos,Y
2,Botafogo - RJ,Di Placido,Y
2,Botafogo - RJ,Victor Cuesta,Y
2,São Paulo - SP,Sebastian Mendez,Y
2,São Paulo - SP,Calleri,Y
3,Palmeiras - SP,Lopez,Y
3,Cuiabá Saf - MT,Cafu,Y
3,Cuiabá Saf - MT,Deyverson,Y
3,Cuiabá Saf - MT,Matheusinho,Y
3,Cuiabá Saf - MT,Filipe Augusto,R
4,Corinthians - SP,Fagner,Y
4,Corinthians - SP,Fausto,Y
4,Corinthians - SP,Roger Guedes,Y
4,Corinthians - SP,Roni,Y
4,Cruzeiro Saf - MG,Nikao,Y
4,Cruzeiro Saf - MG,Lucas Oliveira,Y
5,Red Bull Bragantino - SP,Lucão,Y
5,Red Bull Bragantino - SP,J. Capixaba,Y
5,Red Bull Bragantino - SP,Jadsom Silva,Y
6,Atlético Mineiro - MG,Pavon,Y
6,Atlético Mineiro - MG,Otavio,Y
6,Atlético Mineiro - MG,Hulk,Y
6,Atlético Mineiro - MG,Zaracho,Y
6,Atlético Mineiro - MG,Renzo Saravia,Y
6,Atlético Mineiro - MG,Muricio Lemos,Y
6,Vasco da Gama S.a.f. - RJ,Rodrigo,Y
6,Vasco da Gama S.a.f. - RJ,Pedro Raul,Y
6,Vasco da Gama S.a.f. - RJ,Andrey Santos,Y
6,Vasco da Gama S.a.f. - RJ,Gabriel Pec,Y
6,Vasco da Gama S.a.f. - RJ,Robson,Y
7,Grêmio - RS,Vina,Y
7,Grêmio - RS,Kannemann,Y
7,Grêmio - RS,Darlan,Y
7,Santos - SP,Dodi,Y
7,Santos - SP,Camacho,Y
7,Santos - SP,Yeferson Soteldo,Y
7,Santos - SP,Yeferson Soteldo,R
8,Athletico Paranaense - PR,Pablo,Y
8,Athletico Paranaense - PR,Pedro Henrique,Y
8,Goiás - GO,Bruno,Y
8,Goiás - GO,Jhonny,Y
8,Goiás - GO,Sidimar,Y
9,Fortaleza - CE,Britez,Y
9,Fortaleza - CE,Guilherme Augusto,Y
9,Internacional - RS,Moledo,Y
10,America Saf - MG,Eder,Y
10,America Saf - MG,Iago,Y
10,America Saf - MG,Nino Paraiba,Y
10,Fluminense - RJ,Vitor Mendes,Y
10,Fluminense - RJ,John Kennedy,Y
11,Fluminense - RJ,Keno,Y
11,Fluminense - RJ,Samuel Xavier,Y
11,Fluminense - RJ,Thiago Santos,Y
11,Athletico Paranaense - PR,Erick,Y
11,Athletico Paranaense - PR,Pedrinho,Y
11,Athletico Paranaense - PR,Pablo,Y
12,Vasco da Gama S.a.f. - RJ,Lucas Piton,Y
12,Vasco da Gama S.a.f. - RJ,Pedro Raul,Y
12,Vasco da Gama S.a.f. - RJ,Gabriel Pec,Y
12,Vasco da Gama S.a.f. - RJ,Jair,Y
12,Palmeiras - SP,Ze Rafael,Y
12,Palmeiras - SP,Gabriel Menino,Y
12,Palmeiras - SP,Murilo,Y
13,São Paulo - SP,Rai,Y
13,São Paulo - SP,Patryck,Y
13,São Paulo - SP,Pablo,Y
13,São Paulo - SP,Luciano,Y
13,São Paulo - SP,Marcos Paulo,Y
13,America Saf - MG,Eder,Y
13,America Saf - MG,Everaldo,Y
13,America Saf - MG,Lucas,Y
14,Santos - SP,Luan,Y
14,Santos - SP,Dodi,Y
14,Santos - SP,Rodrigo,Y
14,Atlético Mineiro - MG,Otavio,Y
14,Atlético Mineiro - MG,Hyoran,Y
14,Atlético Mineiro - MG,Mariano,Y
15,Goiás - GO,Halter,Y
15,Goiás - GO,Bruno,Y
15,Goiás - GO,Zé Ricardo,Y
15,Goiás - GO,Julian,Y
15,Goiás - GO,Matheus Peixoto,Y
15,Corinthians - SP,Fabio Santos,Y
15,Corinthians - SP,Fausto,Y
16,Cruzeiro Saf - MG,Richard,Y
16,Cruzeiro Saf - MG,Gilberto,Y
16,Cruzeiro Saf - MG,Ramiro,Y
16,Cruzeiro Saf - MG,Marlon,Y
16,Cruzeiro Saf - MG,Lucas Oliveira,R
16,Grêmio - RS,Kannemann,Y
16,Grêmio - RS,Suarez,Y
17,Internacional - RS,Mauricio,Y
17,Internacional - RS,Gustavo,Y
17,Internacional - RS,Vitão,Y
17,Flamengo - RJ,Everton,Y
18,Fortaleza - CE,Britez,Y
18,Fortaleza - CE,Calebe,Y
19,Botafogo - RJ,Tiquinho,Y
19,Botafogo - RJ,Di Placido,Y
20,Cuiabá Saf - MT,Denilson,Y
20,Cuiabá Saf - MT,Pablo Ceppelini Gatto,Y
20,Cuiabá Saf - MT,Marllon,Y
20,Red Bull Bragantino - SP,Thiago Borbas,Y
20,Red Bull Bragantino - SP,Henry Mosquera,Y
20,Red Bull Bragantino - SP,J. Capixaba,Y
21,Flamengo - RJ,Gabriel Barbosa,Y
21,Flamengo - RJ,VIDAL,Y
21,Flamengo - RJ,David Luiz,Y
21,Flamengo - RJ,Thiago Maia,Y
21,Botafogo - RJ,Victor Cuesta,Y
21,Botafogo - RJ,Tiquinho,Y
21,Botafogo - RJ,Rafael,R
22,Vasco da Gama S.a.f. - RJ,Andrey Santos,Y
23,Palmeiras - SP,Mayke,Y
23,Palmeiras - SP,Rafael Navarro,Y
23,Palmeiras - SP,Joaquin Piquerez,Y
23,Corinthians - SP,Giuliano,Y
23,Corinthians - SP,Roger Guedes,Y
23,Corinthians - SP,Eduardo Santos Queiroz,Y
24,Santos - SP,Nathan,Y
24,Santos - SP,Dodi,Y
24,Santos - SP,Rodrigo,Y
24,Santos - SP,Eduardo,R
24,America Saf - MG,Ale,Y
24,America Saf - MG,Eder,Y
24,America Saf - MG,Iago,Y
24,America Saf - MG,Everaldo,Y
25,Red Bull Bragantino - SP,Thiago Borbas,Y
25,Red Bull Bragantino - SP,Helinho,Y
25,Red Bull Bragantino - SP,Aderlan,R
25,Cruzeiro Saf - MG,Luciano Castan,Y
25,Cruzeiro Saf - MG,Ramiro,Y
25,Cruzeiro Saf - MG,Neris,Y
26,Atlético Mineiro - MG,Everson,Y
26,Atlético Mineiro - MG,Muricio Lemos,Y
26,Athletico Paranaense - PR,Alex Santana,Y
26,Athletico Paranaense - PR,Alex Santana,R
27,Internacional - RS,Gabriel Mercado,Y
27,Internacional - RS,Carlos de Pena,Y
27,Internacional - RS,Alan Patrick,Y
27,Internacional - RS,Alexandre,Y
27,Goiás - GO,Magno Jose,R
28,São Paulo - SP,Michel Araujo,Y
29,Fluminense - RJ,Gabriel Pirani,Y
29,Fluminense - RJ,Keno,Y
29,Fluminense - RJ,John Kennedy,Y
30,Cuiabá Saf - MT,Deyverson,Y
30,Cuiabá Saf - MT,Raniele,Y
30,Cuiabá Saf - MT,Ronald,Y
30,Cuiabá Saf - MT,Patric,R
30,Grêmio - RS,Bruno Alves,Y
30,Grêmio - RS,Diogo Barbosa,Y
30,Grêmio - RS,Kannemann,Y
30,Grêmio - RS,Bitello,Y
30,Grêmio - RS,Mila,Y
31,Fluminense - RJ,André,Y
31,Fluminense - RJ,Felipe Melo,Y
31,Fluminense - RJ,John Kennedy,Y
31,Vasco da Gama S.a.f. - RJ,Leo Jardim,Y
31,Vasco da Gama S.a.f. - RJ,Figueiredo,Y
31,Vasco da Gama S.a.f. - RJ,Eguinaldo,Y
32,Botafogo - RJ,Lucas,Y
32,Atlético Mineiro - MG,Rodrigo Battaglia,Y
32,Atlético Mineiro - MG,Muricio Lemos,Y
32,Atlético Mineiro - MG,Rubens,Y
33,São Paulo - SP,Rafinha,Y
33,São Paulo - SP,Gabriel Neves,Y
33,São Paulo - SP,Wellington Rato,Y
33,Internacional - RS,Moledo,Y
33,Internacional - RS,Mauricio,Y
33,Internacional - RS,Gabriel Mercado,Y
33,Internacional - RS,Lucca,Y
34,Corinthians - SP,Fausto,Y
34,Corinthians - SP,Murillo,Y
34,Fortaleza - CE,Silvio Romero,Y
34,Fortaleza - CE,Bruno Pacheco,Y
35,Goiás - GO,Jackson,Y
35,Goiás - GO,Bruno,Y
35,Goiás - GO,Halter,R
35,Palmeiras - SP,Raphael Veiga,Y
35,Palmeiras - SP,Endrick,Y
35,Palmeiras - SP,Gustavo Gomez,Y
35,Palmeiras - SP,Mayke,Y
35,Palmeiras - SP,Joaquin Piquerez,Y
35,Palmeiras - SP,Ze Rafael,Y
36,Cruzeiro Saf - MG,William,Y
36,Cruzeiro Saf - MG,Lucas Oliveira,Y
36,Cruzeiro Saf - MG,Richard,Y
36,Cruzeiro Saf - MG,Henrique Dourado,Y
36,Cruzeiro Saf - MG,Ramiro,Y
36,Santos - SP,Lucas Lima,Y
36,Santos - SP,Gabriel,Y
36,Santos - SP,Rodrigo,Y
37,Grêmio - RS,Uvini,Y
37,Grêmio - RS,Vina,Y
37,Grêmio - RS,Galdino,Y
37,Grêmio - RS,G. Martins,Y
37,Grêmio - RS,Nathan,Y
37,Red Bull Bragantino - SP,Matheus Fernandes,Y
37,Red Bull Bragantino - SP,Vitinho,Y
38,Athletico Paranaense - PR,Fernandinho,Y
38,Athletico Paranaense - PR,Erick,Y
38,Flamengo - RJ,Gabriel Barbosa,Y
38,Flamengo - RJ,Erick Pulgar,Y
39,Bahia - BA,Biel,Y
39,Bahia - BA,Jacare,Y
40,America Saf - MG,Mateus Gonçalves,Y
40,America Saf - MG,Ale,Y
40,America Saf - MG,Marlon,Y
40,America Saf - MG,Matheus,R
40,Cuiabá Saf - MT,Matheusinho,Y
40,Cuiabá Saf - MT,Pablo Ceppelini Gatto,Y
40,Cuiabá Saf - MT,Ronald,Y
40,Cuiabá Saf - MT,ALAN,Y
41,Goiás - GO,Vinicius,Y
42,Botafogo - RJ,Victor Cuesta,Y
42,Corinthians - SP,Fabio Santos,Y
42,Corinthians - SP,Gil,Y
43,Palmeiras - SP,Joaquin Piquerez,Y
43,Palmeiras - SP,Ze Rafael,Y
43,Grêmio - RS,Gabriel Grando,Y
43,Grêmio - RS,Villasanti,Y
43,Grêmio - RS,Uvini,Y
43,Grêmio - RS,Kannemann,Y
44,Santos - SP,Lucas,Y
44,Santos - SP,Lucas Lima,Y
44,Santos - SP,Deivid Washington,Y
44,Bahia - BA,Cicinho,Y
44,Bahia - BA,Kanu,Y
44,Bahia - BA,Acevedo,Y
44,Bahia - BA,Chavez,Y
45,Red Bull Bragantino - SP,Jadsom Silva,Y
45,Red Bull Bragantino - SP,Vitinho,Y
45,Red Bull Bragantino - SP,Eduardo,Y
45,Red Bull Bragantino - SP,Eduardo Sasha,Y
45,Red Bull Bragantino - SP,Thiago Borbas,Y
45,America Saf - MG,Eder,Y
45,America Saf - MG,Everaldo,Y
45,America Saf - MG,Marcinho,Y
46,Cruzeiro Saf - MG,Wesley Ribeiro Silva,Y
46,Fluminense - RJ,Fabio,Y
46,Fluminense - RJ,Manoel,Y
46,Fluminense - RJ,Marcelo,Y
46,Fluminense - RJ,Thiago Santos,Y
46,Fluminense - RJ,André,Y
46,Fluminense - RJ,André,R
47,Internacional - RS,Igor Gomes,Y
47,Internacional - RS,Gabriel Barros,Y
47,Athletico Paranaense - PR,Bento,Y
47,Athletico Paranaense - PR,Hugo Moura,Y
47,Athletico Paranaense - PR,Pedro Henrique,Y
47,Athletico Paranaense - PR,Vitor Bueno,Y
48,Vasco da Gama S.a.f. - RJ,Matias Galarza,Y
49,Fortaleza - CE,Yago,Y
49,Fortaleza - CE,Britez,R
49,São Paulo - SP,Gabriel Neves,Y
49,São Paulo - SP,Rai,Y
49,São Paulo - SP,Alisson,Y
49,São Paulo - SP,Rodrigo Nestor,R
50,Cuiabá Saf - MT,Marllon,Y
50,Atlético Mineiro - MG,Vargas,Y
50,Atlético Mineiro - MG,Zaracho,Y
51,Fluminense - RJ,Giovanni,Y
51,Fluminense - RJ,Jhon Arias,Y
51,Fluminense - RJ,Guga,Y
51,Cuiabá Saf - MT,Walter,Y
51,Cuiabá Saf - MT,Matheus Alexandre,Y
51,Cuiabá Saf - MT,Denilson,Y
51,Cuiabá Saf - MT,Matheusinho,Y
52,Vasco da Gama S.a.f. - RJ,Puma Rodriguez,Y
52,Vasco da Gama S.a.f. - RJ,Robson,Y
52,Vasco da Gama S.a.f. - RJ,Léo,Y
52,Vasco da Gama S.a.f. - RJ,Erick Marcus,Y
52,Santos - SP,Nathan,Y
53,Palmeiras - SP,Gustavo Gomez,Y
53,Red Bull Bragantino - SP,Cleiton,Y
53,Red Bull Bragantino - SP,Alerrandro,Y
53,Red Bull Bragantino - SP,Eric Ramires,Y
53,Red Bull Bragantino - SP,J. Capixaba,Y
54,Corinthians - SP,Fagner,Y
54,Corinthians - SP,Gil,Y
54,São Paulo - SP,Caio Paulista,Y
54,São Paulo - SP,Luciano,Y
54,São Paulo - SP,Rafinha,Y
54,São Paulo - SP,Beraldo,Y
55,Goiás - GO,Halter,Y
55,Goiás - GO,Willian Oliveira,Y
55,Goiás - GO,Zé Ricardo,Y
55,Goiás - GO,Vinicius,Y
55,Goiás - GO,Matheus Peixoto,Y
55,Goiás - GO,Magno Jose,Y
55,Botafogo - RJ,Marcal,Y
55,Botafogo - RJ,Adryelson,Y
55,Botafogo - RJ,Luis Segovia,Y
56,Atlético Mineiro - MG,Jemerson,Y
56,Atlético Mineiro - MG,Pavon,Y
56,Internacional - RS,Nicolas Hernandez,Y
56,Internacional - RS,Romulo,Y
56,Internacional - RS,Alexandre,Y
57,Grêmio - RS,Villasanti,Y
57,Grêmio - RS,Reinaldo,Y
57,Grêmio - RS,Kannemann,Y
57,Fortaleza - CE,Brayan Ceballos,Y
57,Fortaleza - CE,Christian,Y
57,Fortaleza - CE,Calebe,Y
57,Fortaleza - CE,Lucas,Y
58,Athletico Paranaense - PR,Fernando,Y
58,Athletico Paranaense - PR,Fernandinho,Y
58,Athletico Paranaense - PR,Vitor Bueno,Y
59,Bahia - BA,Vitor Hugo,Y
59,Bahia - BA,Ademir,Y
59,Bahia - BA,Yago Felipe,Y
59,Bahia - BA,Kanu,R
59,Bahia - BA,Rezende,R
59,Flamengo - RJ,VIDAL,Y
59,Flamengo - RJ,Fabricio Bruno,Y
59,Flamengo - RJ,Leo Pereira,Y
59,Flamengo - RJ,De Arrascaeta,Y
59,Flamengo - RJ,Ayrton Lucas,Y
60,America Saf - MG,Ricardo Silva,Y
60,America Saf - MG,Aloisio,Y
61,Corinthians - SP,Cássio,Y
61,Corinthians - SP,Bruno Mendez,Y
62,Botafogo - RJ,Carlos,Y
62,Botafogo - RJ,Marcal,Y
62,Botafogo - RJ,Tiquinho,Y
62,Botafogo - RJ,Victor Cuesta,Y
62,Fluminense - RJ,Lelê,Y
62,Fluminense - RJ,Nino,Y
63,Vasco da Gama S.a.f. - RJ,Jair,Y
63,Vasco da Gama S.a.f. - RJ,Barros,Y
63,Vasco da Gama S.a.f. - RJ,Figueiredo,Y
63,Vasco da Gama S.a.f. - RJ,Pedro Raul,Y
64,Santos - SP,Ângelo,Y
64,Santos - SP,Daniel Ruiz,Y
64,Santos - SP,Dodi,Y
64,Palmeiras - SP,Raphael Veiga,Y
65,Red Bull Bragantino - SP,Cleiton,Y
65,Red Bull Bragantino - SP,Eduardo Sasha,Y
65,Red Bull Bragantino - SP,Jadsom Silva,Y
65,Athletico Paranaense - PR,Madson,Y
65,Athletico Paranaense - PR,Canobbio,Y
65,Athletico Paranaense - PR,Thiago,Y
66,Cruzeiro Saf - MG,Gilberto,Y
66,Cuiabá Saf - MT,Wellington Silva,Y
66,Cuiabá Saf - MT,Fernando,Y
66,Cuiabá Saf - MT,Denilson,Y
67,Grêmio - RS,Kannemann,R
67,Internacional - RS,Gustavo,Y
68,Atlético Mineiro - MG,Hulk,Y
68,Atlético Mineiro - MG,Vargas,Y
68,Atlético Mineiro - MG,Igor Gomes,Y
68,Atlético Mineiro - MG,Hyoran,Y
68,Atlético Mineiro - MG,Patrick,Y
68,Atlético Mineiro - MG,Renzo Saravia,Y
68,Atlético Mineiro - MG,Muricio Lemos,R
69,Bahia - BA,Ryan,Y
69,Goiás - GO,Alesson,Y
69,Goiás - GO,Zé Ricardo,Y
69,Goiás - GO,Magno Jose,Y
70,America Saf - MG,Renato,Y
70,America Saf - MG,Danilo,Y
70,America Saf - MG,Lucas,Y
70,America Saf - MG,Marcinho,Y
70,Fortaleza - CE,Brayan Ceballos,Y
70,Fortaleza - CE,Moises,Y
71,Flamengo - RJ,Ayrton Lucas,Y
71,Flamengo - RJ,Gabriel Barbosa,Y
71,Flamengo - RJ,Thiago Maia,Y
71,Flamengo - RJ,Gerson,Y
71,Cruzeiro Saf - MG,Rafael Cabral,Y
71,Cruzeiro Saf - MG,Igor Marques Paciencia Cardoso,Y
71,Cruzeiro Saf - MG,William,Y
71,Cruzeiro Saf - MG,Matheus,Y
71,Cruzeiro Saf - MG,Wesley Ribeiro Silva,Y
72,Botafogo - RJ,Marcal,Y
72,Botafogo - RJ,Victor Cuesta,Y
72,America Saf - MG,Renato,Y
72,America Saf - MG,Iago,Y
72,America Saf - MG,Marcinho,Y
73,São Paulo - SP,Alan Franco,Y
73,São Paulo - SP,Wellington Rato,Y
73,Goiás - GO,Bruno,Y
73,Goiás - GO,Jackson,Y
73,Goiás - GO,Fellipe Bastos,Y
73,Goiás - GO,Halter,Y
74,Corinthians - SP,Cássio,Y
74,Corinthians - SP,Fausto,Y
74,Corinthians - SP,Matheus Bidu,Y
74,Corinthians - SP,Gil,Y
74,Fluminense - RJ,Felipe Melo,Y
74,Fluminense - RJ,Samuel Xavier,Y
75,Red Bull Bragantino - SP,Helinho,Y
75,Red Bull Bragantino - SP,Matheus Fernandes,Y
75,Santos - SP,Deivid Washington,Y
76,Atlético Mineiro - MG,Pavon,Y
76,Atlético Mineiro - MG,Zaracho,Y
76,Atlético Mineiro - MG,Nathan Silva,Y
76,Palmeiras - SP,Vanderlan,Y
76,Palmeiras - SP,Raphael Veiga,Y
76,Palmeiras - SP,Gabriel Menino,Y
77,Internacional - RS,Gustavo,Y
77,Bahia - BA,Everaldo,Y
77,Bahia - BA,Ryan,Y
78,Athletico Paranaense - PR,Thiago Heleno,Y
78,Athletico Paranaense - PR,Vitor Bueno,Y
78,Grêmio - RS,Adriel,Y
78,Grêmio - RS,Andre,Y
78,Grêmio - RS,Reinaldo,Y
78,Grêmio - RS,G. Martins,Y
79,Fortaleza - CE,João Ricardo,Y
79,Fortaleza - CE,Yago,Y
79,Fortaleza - CE,HERCULES,Y
79,Vasco da Gama S.a.f. - RJ,Capasso,Y
80,Cuiabá Saf - MT,Raniele,Y
80,Cuiabá Saf - MT,ALAN,Y
80,Cuiabá Saf - MT,Patric,Y
81,Fluminense - RJ,Felipe Melo,Y
81,Fluminense - RJ,PH GANSO,Y
81,Fluminense - RJ,Samuel Xavier,Y
81,Fluminense - RJ,Lima,Y
81,Fluminense - RJ,Nino,Y
81,Red Bull Bragantino - SP,Luan Patrick,Y
81,Red Bull Bragantino - SP,Matheus Fernandes,Y
82,Vasco da Gama S.a.f. - RJ,Capasso,Y
82,Vasco da Gama S.a.f. - RJ,Alex Teixeira,Y
83,Palmeiras - SP,Jhon Jhon,Y
83,Palmeiras - SP,Gustavo Gomez,Y
83,Palmeiras - SP,Luan Garcia,Y
83,Palmeiras - SP,Ze Rafael,Y
84,Santos - SP,Rodrigo,Y
84,Santos - SP,Joaquim,Y
84,Internacional - RS,Nicolas Hernandez,Y
84,Internacional - RS,Alan Patrick,Y
84,Internacional - RS,Jean Dias,Y
84,Internacional - RS,Joao Lucas,Y
85,Goiás - GO,Magno Jose,Y
85,Goiás - GO,Guilherme,Y
85,Cuiabá Saf - MT,Matheus Alexandre,Y
85,Cuiabá Saf - MT,Marllon,Y
85,Cuiabá Saf - MT,Raniele,Y
86,Cruzeiro Saf - MG,Luciano Castan,Y
86,Cruzeiro Saf - MG,Neris,Y
86,Cruzeiro Saf - MG,Matheus,Y
86,Cruzeiro Saf - MG,Wallisson,Y
86,Atlético Mineiro - MG,Everson,Y
86,Atlético Mineiro - MG,Otavio,Y
86,Atlético Mineiro - MG,Hulk,Y
86,Atlético Mineiro - MG,Hyoran,Y
86,Atlético Mineiro - MG,Renzo Saravia,Y
87,Grêmio - RS,Reinaldo,Y
87,Grêmio - RS,Mila,Y
87,São Paulo - SP,Alan Franco,Y
88,Athletico Paranaense - PR,Pedro Henrique,Y
88,Athletico Paranaense - PR,David Terans,Y
88,Athletico Paranaense - PR,Alex Santana,Y
88,Botafogo - RJ,Kayque,Y
88,Botafogo - RJ,Rafael,Y
89,Fortaleza - CE,Zanocelo,Y
89,Fortaleza - CE,Christian,Y
89,Bahia - BA,Everaldo,Y
89,Bahia - BA,Cicinho,Y
89,Bahia - BA,Acevedo,Y
90,America Saf - MG,Juninho,Y
91,Grêmio - RS,Suarez,Y
91,Grêmio - RS,Kannemann,Y
91,Grêmio - RS,Uvini,Y
92,Botafogo - RJ,Tiquinho,Y
92,Botafogo - RJ,Rafael,Y
92,Botafogo - RJ,Carlos,Y
92,Fortaleza - CE,Thiago Galhardo,Y
92,Fortaleza - CE,Caio,Y
92,Fortaleza - CE,Welison,Y
93,São Paulo - SP,RODRIGUINHO,Y
93,São Paulo - SP,David,Y
93,São Paulo - SP,Pablo,R
93,Palmeiras - SP,Artur,Y
94,Corinthians - SP,Maycon,Y
94,Corinthians - SP,RUAN,Y
94,Cuiabá Saf - MT,Fernando,Y
94,Cuiabá Saf - MT,Denilson,Y
94,Cuiabá Saf - MT,Deyverson,Y
95,Goiás - GO,Willian Oliveira,Y
95,Goiás - GO,Guilherme,Y
95,Goiás - GO,Zé Ricardo,Y
95,Fluminense - RJ,Fabio,Y
95,Fluminense - RJ,German Cano,Y
95,Fluminense - RJ,David Braz,Y
96,Atlético Mineiro - MG,Mariano,Y
96,Atlético Mineiro - MG,Muricio Lemos,Y
96,Red Bull Bragantino - SP,Cleiton,Y
96,Red Bull Bragantino - SP,Léo Realpe,Y
96,Red Bull Bragantino - SP,Evangelista,Y
97,Internacional - RS,Matheus,Y
97,Internacional - RS,Moledo,Y
97,Vasco da Gama S.a.f. - RJ,Lucas Piton,Y
97,Vasco da Gama S.a.f. - RJ,Jair,Y
97,Vasco da Gama S.a.f. - RJ,Robson,Y
98,Santos - SP,Camacho,R
99,Bahia - BA,Kayky Chagas,Y
99,Bahia - BA,Ryan,Y
99,Bahia - BA,Rezende,Y
99,Bahia - BA,Kanu,Y
99,Cruzeiro Saf - MG,Wallisson,Y
100,America Saf - MG,Aloisio,Y
100,America Saf - MG,Marcinho,Y
100,Athletico Paranaense - PR,Bento,Y
100,Athletico Paranaense - PR,Vitor Roque,Y
100,Athletico Paranaense - PR,Erick,Y
100,Athletico Paranaense - PR,Canobbio,Y
101,Fluminense - RJ,André,Y
101,Fluminense - RJ,John Kennedy,Y
101,Atlético Mineiro - MG,Hulk,Y
101,Atlético Mineiro - MG,Guilherme Arana,Y
101,Atlético Mineiro - MG,Rodrigo Battaglia,Y
101,Atlético Mineiro - MG,Hyoran,Y
102,Vasco da Gama S.a.f. - RJ,Mateus Carvalho,Y
102,Vasco da Gama S.a.f. - RJ,Andrey Santos,Y
102,Goiás - GO,Apodi,Y
102,Goiás - GO,Morelli,Y
102,Goiás - GO,Willian Oliveira,Y
103,São Paulo - SP,Caio Paulista,Y
