NPartida,Clube,Apelido,Momento,Nome,Camisa,id
1,Flamengo - RJ,Ayrton Lucas,11' (1ºT),Ayrton Lucas Dantas de Medeiros,6.0,75.0
1,Flamengo - RJ,Gabriel Barbosa,10' (2ºT),Gabriel Barbosa Almeida,10.0,294.0
1,Flamengo - RJ,Pedro,45+4' (2ºT),Pedro Guilherme Abreu dos Santos,9.0,824.0
2,Botafogo - RJ,Carlos,43' (2ºT),Carlos Eduardo de Oliveira Alves,33.0,129.0
2,Botafogo - RJ,Tiquinho,3' (1ºT),Francisco das Chagas Soares dos Santos,9.0,284.0
2,São Paulo - SP,Calleri,16' (1ºT),Jonathan Calleri,9.0,498.0
3,Palmeiras - SP,Endrick,4' (1ºT),Endrick Felipe Moreira de Sousa,9.0,223.0
3,Palmeiras - SP,Lopez,19' (2ºT),Jose Manuel Alberto Lopez,18.0,509.0
3,Cuiabá Saf - MT,Raniele,45+5' (1ºT),Raniele Almeida Melo,14.0,861.0
4,Corinthians - SP,Matheus Araujo,23' (2ºT),Matheus de Araujo Andrade,30.0,724.0
4,Corinthians - SP,Roger Guedes,42' (2ºT),,,
4,Cruzeiro Saf - MG,Lucas Oliveira,45+5' (2ºT),Lucas da Cruz Oliveira,26.0,605.0
4,Cruzeiro Saf - MG,Lucas Oliveira,45+5' (2ºT),Lucas da Cruz Oliveira,6.0,606.0
5,Red Bull Bragantino - SP,Bruninho,8' (2ºT),Bruno Gonçalves de Jesus,17.0,101.0
5,Red Bull Bragantino - SP,Eduardo Sasha,25' (2ºT),Eduardo Colcenti Antunes,19.0,206.0
6,Atlético Mineiro - MG,Muricio Lemos,45+4' (1ºT),Paolo Mauricio Lemos Merladett,28.0,803.0
6,Vasco da Gama S.a.f. - RJ,Andrey Santos,4' (1ºT),,,
6,Vasco da Gama S.a.f. - RJ,Gabriel Pec,10' (1ºT),Gabriel Fortes Chaves,11.0,305.0
7,Grêmio - RS,Joao Pedro,43' (1ºT),Joao Pedro Geraldino dos Santos Galvao,18.0,471.0
7,Grêmio - RS,Joao Pedro,43' (1ºT),Joao Pedro Maturano dos Santos,18.0,472.0
8,Athletico Paranaense - PR,Christian,12' (2ºT),Christian Roberto Alves Cardoso,88.0,143.0
8,Athletico Paranaense - PR,Pedro Henrique,35' (1ºT),Pedro Henrique Ribeiro Goncalves,34.0,831.0
9,Fortaleza - CE,Moises,11' (2ºT),,,
9,Internacional - RS,WANDERSON,8' (2ºT),Wanderson Maciel Sousa Campos,11.0,1032.0
10,Fluminense - RJ,German Cano,6' (2ºT),German Ezequiel Cano,14.0,324.0
10,Fluminense - RJ,Lelê,26' (2ºT),Leanderson da Silva Genesio,99.0,561.0
10,Fluminense - RJ,John Kennedy,14' (2ºT),John Kennedy Batista de Souza,9.0,494.0
11,Fluminense - RJ,Nino,21' (2ºT),Marcilio Florencio Mota Filho,33.0,682.0
11,Fluminense - RJ,Lima,10' (1ºT),Vinicius Moreira de Lima,45.0,1003.0
12,Vasco da Gama S.a.f. - RJ,Pedro Raul,28' (1ºT),,,
12,Vasco da Gama S.a.f. - RJ,Gabriel Pec,39' (1ºT),Gabriel Fortes Chaves,11.0,305.0
12,Palmeiras - SP,Artur,17' (2ºT),Artur Victor Guimaraes,14.0,72.0
12,Palmeiras - SP,Rafael Navarro,45+1' (1ºT),,,
13,São Paulo - SP,Luciano,20' (1ºT),Luciano da Rocha Neves,10.0,642.0
13,São Paulo - SP,Marcos Paulo,45+5' (2ºT),Marcos Paulo Costa do Nascimento,32.0,691.0
13,São Paulo - SP,Calleri,37' (2ºT),Jonathan Calleri,9.0,498.0
15,Goiás - GO,Halter,35' (2ºT),Lucas Halter,3.0,623.0
15,Goiás - GO,Apodi,45+4' (2ºT),Luiz Diallisson de Souza Alves,22.0,662.0
15,Goiás - GO,Matheus Peixoto,30' (1ºT),,,
15,Corinthians - SP,Roger Guedes,16' (1ºT),,,
16,Cruzeiro Saf - MG,Bruno Rodrigues,19' (2ºT),Bruno Rafael Rodrigues do Nascimento,9.0,106.0
17,Internacional - RS,Mauricio,21' (2ºT),Mauricio Magalhaes Prado,27.0,756.0
17,Internacional - RS,Mauricio,45+8' (2ºT),Mauricio Magalhaes Prado,27.0,756.0
17,Flamengo - RJ,Gerson,17' (2ºT),Gerson Santos da Silva,20.0,325.0
18,Fortaleza - CE,Silvio Romero,6' (2ºT),Silvio Ezequiel Romero,18.0,947.0
18,Fortaleza - CE,Yago,37' (2ºT),Glaybson Yago Souza Lisbôa,22.0,336.0
18,Fortaleza - CE,Yago,45' (2ºT),Glaybson Yago Souza Lisbôa,22.0,336.0
19,Botafogo - RJ,Tche Tche,32' (2ºT),Danilo das Neves Pinheiro,6.0,162.0
19,Botafogo - RJ,Junior,28' (1ºT),Jose Antonio dos Santos Junior,37.0,503.0
20,Cuiabá Saf - MT,Matheusinho,22' (2ºT),Mateus da Silva Duarte,98.0,709.0
20,Red Bull Bragantino - SP,Thiago Borbas,40' (2ºT),Thiago Nicolas Borbas Silva,18.0,967.0
21,Flamengo - RJ,Leo Pereira,13' (2ºT),Leonardo Pereira,4.0,581.0
21,Flamengo - RJ,Leo Pereira,40' (2ºT),Leonardo Pereira,4.0,581.0
21,Botafogo - RJ,Danilo,45+4' (1ºT),Danilo Barbosa da Silva,5.0,161.0
21,Botafogo - RJ,Tiquinho,29' (1ºT),Francisco das Chagas Soares dos Santos,9.0,284.0
21,Botafogo - RJ,Tiquinho,25' (2ºT),Francisco das Chagas Soares dos Santos,9.0,284.0
23,Palmeiras - SP,Murilo,15' (1ºT),Murilo Cerqueira Paim,26.0,771.0
23,Palmeiras - SP,Raphael Veiga,35' (1ºT),Raphael Cavalcante Veiga,0.0,862.0
23,Palmeiras - SP,Joaquin Piquerez,31' (2ºT),Joaquin Piquerez Moreira,22.0,493.0
24,Santos - SP,Eduardo,40' (1ºT),,,
24,Santos - SP,Mendoza,18' (1ºT),John Steven Mendoza Valencia,0.0,495.0
24,Santos - SP,Marcos Leonardo,24' (2ºT),Marcos Leonardo Santos Almeida,9.0,689.0
24,America Saf - MG,Ale,7' (1ºT),Alexandre Egea,16.0,30.0
24,America Saf - MG,Everaldo,4' (2ºT),Everaldo Silva do Nascimento,37.0,236.0
25,Cruzeiro Saf - MG,Ramiro,1' (1ºT),Ramiro Moschen Benetti,17.0,859.0
25,Cruzeiro Saf - MG,Gilberto,19' (2ºT),Gilberto Oliveira Souza Junior,21.0,328.0
25,Cruzeiro Saf - MG,Bruno Rodrigues,41' (2ºT),Bruno Rafael Rodrigues do Nascimento,9.0,106.0
26,Atlético Mineiro - MG,Hulk,9' (1ºT),Givanildo Vieira de Sousa,7.0,335.0
26,Atlético Mineiro - MG,Hulk,38' (2ºT),Givanildo Vieira de Sousa,7.0,335.0
26,Athletico Paranaense - PR,Vitor Roque,45+2' (2ºT),Vitor Hugo Roque Ferreira,9.0,1022.0
27,Internacional - RS,Carlos de Pena,7' (2ºT),Carlos Maria de Pena Bonino,14.0,133.0
28,São Paulo - SP,Marcos Paulo,35' (2ºT),Marcos Paulo Costa do Nascimento,32.0,691.0
29,Fortaleza - CE,HERCULES,33' (2ºT),Hercules Pereira do Nascimento,35.0,383.0
29,Fortaleza - CE,Thiago Galhardo,28' (1ºT),Thiago Galhardo do Nascimento Rocha,91.0,963.0
29,Fortaleza - CE,Moises,34' (1ºT),,,
29,Fortaleza - CE,Moises,14' (2ºT),,,
29,Fluminense - RJ,Alan,45+1' (1ºT),,,
29,Fluminense - RJ,John Kennedy,23' (2ºT),John Kennedy Batista de Souza,9.0,494.0
30,Cuiabá Saf - MT,Marllon,28' (1ºT),Marllon Goncalves Jeronimo Borges,4.0,697.0
30,Grêmio - RS,Vina,9' (1ºT),,,
30,Grêmio - RS,Galdino,22' (2ºT),Everton Galdino Moreira,13.0,240.0
31,Fluminense - RJ,Lima,9' (2ºT),Vinicius Moreira de Lima,45.0,1003.0
31,Vasco da Gama S.a.f. - RJ,Pedro Raul,1' (1ºT),,,
32,Botafogo - RJ,Matheus Nascimento,15' (2ºT),Matheus Nascimento de Paula,0.0,744.0
32,Botafogo - RJ,Joao Victor,29' (1ºT),Joao Victor Santos Sa,7.0,485.0
33,São Paulo - SP,Pablo,24' (2ºT),Pablo Gonçalves Maia Fortunato,29.0,800.0
33,São Paulo - SP,Luciano,32' (1ºT),Luciano da Rocha Neves,10.0,642.0
34,Corinthians - SP,Yuri Alberto,42' (2ºT),Yuri Alberto Monteiro da Silva,9.0,1068.0
34,Fortaleza - CE,Caio,34' (2ºT),Caio Alexandre Sousa E Silva,8.0,112.0
35,Goiás - GO,Sidimar,3' (2ºT),Sidimar Fernando Cigolini,4.0,945.0
35,Palmeiras - SP,Dudu,44' (2ºT),Eduardo Pereira Rodrigues,7.0,213.0
35,Palmeiras - SP,Artur,9' (1ºT),Artur Victor Guimaraes,14.0,72.0
35,Palmeiras - SP,Raphael Veiga,32' (2ºT),Raphael Cavalcante Veiga,0.0,862.0
35,Palmeiras - SP,Endrick,37' (2ºT),Endrick Felipe Moreira de Sousa,9.0,223.0
36,Cruzeiro Saf - MG,Wesley Ribeiro Silva,21' (1ºT),Wesley Ribeiro Silva,11.0,1048.0
36,Cruzeiro Saf - MG,Wesley Ribeiro Silva,16' (2ºT),Wesley Ribeiro Silva,11.0,1048.0
36,Santos - SP,Ângelo,12' (2ºT),,,
37,Grêmio - RS,Suarez,10' (2ºT),Luis Alberto Suarez Diaz,9.0,645.0
37,Grêmio - RS,Galdino,16' (2ºT),Everton Galdino Moreira,13.0,240.0
37,Grêmio - RS,Cristaldo,6' (1ºT),Franco Sebastian Cristaldo,19.0,288.0
37,Red Bull Bragantino - SP,Matheus Fernandes,9' (1ºT),Matheus Fernandes Siqueira,35.0,730.0
37,Red Bull Bragantino - SP,Thiago Borbas,45+1' (2ºT),Thiago Nicolas Borbas Silva,18.0,967.0
37,Red Bull Bragantino - SP,Eduardo Sasha,8' (2ºT),Eduardo Colcenti Antunes,19.0,206.0
38,Athletico Paranaense - PR,Vitor Roque,28' (1ºT),Vitor Hugo Roque Ferreira,9.0,1022.0
38,Athletico Paranaense - PR,Erick,35' (2ºT),Erick Luis Conrado Carvalho,26.0,228.0
38,Flamengo - RJ,Gabriel Barbosa,15' (1ºT),Gabriel Barbosa Almeida,10.0,294.0
39,Bahia - BA,Biel,19' (2ºT),Gabriel Teixeira Aragao,0.0,317.0
39,Bahia - BA,David Duarte,23' (2ºT),David de Duarte Macedo,0.0,170.0
40,America Saf - MG,Aloisio,11' (1ºT),Aloisio dos Santos Goncalves,99.0,46.0
40,America Saf - MG,Marlon,39' (2ºT),Marlon Matheus Lopes do Nascimento,6.0,700.0
40,Cuiabá Saf - MT,Ronald,45+1' (2ºT),Ronald Barbosa Raposo,8.0,920.0
40,Cuiabá Saf - MT,Ronald,45+1' (2ºT),Ronald dos Santos Lopes,8.0,923.0
41,Flamengo - RJ,Éverton Ribeiro,3' (2ºT),Everton Augusto de Barros Ribeiro,7.0,239.0
41,Flamengo - RJ,Pedro,7' (1ºT),Pedro Guilherme Abreu dos Santos,9.0,824.0
42,Botafogo - RJ,Carlos,36' (2ºT),Carlos Eduardo de Oliveira Alves,33.0,129.0
42,Botafogo - RJ,Tiquinho,12' (1ºT),Francisco das Chagas Soares dos Santos,9.0,284.0
42,Botafogo - RJ,Tiquinho,19' (2ºT),Francisco das Chagas Soares dos Santos,9.0,284.0
43,Palmeiras - SP,Mayke,23' (2ºT),Mayke Rocha de Oliveira,0.0,762.0
43,Palmeiras - SP,Luan Garcia,27' (2ºT),Luan Garcia Teixeira,13.0,591.0
43,Palmeiras - SP,Raphael Veiga,23' (1ºT),Raphael Cavalcante Veiga,0.0,862.0
43,Palmeiras - SP,Raphael Veiga,11' (2ºT),Raphael Cavalcante Veiga,0.0,862.0
43,Grêmio - RS,Bitello,45+2' (1ºT),,,
44,Santos - SP,Ângelo,5' (2ºT),,,
44,Santos - SP,Mendoza,14' (1ºT),John Steven Mendoza Valencia,0.0,495.0
44,Santos - SP,Deivid Washington,3' (1ºT),,,
45,Red Bull Bragantino - SP,Helinho,33' (1ºT),Helio Junio Nunes de Castro,11.0,376.0
45,Red Bull Bragantino - SP,Helinho,43' (1ºT),Helio Junio Nunes de Castro,11.0,376.0
45,America Saf - MG,Aloisio,14' (1ºT),Aloisio dos Santos Goncalves,99.0,46.0
45,America Saf - MG,Aloisio,32' (2ºT),Aloisio dos Santos Goncalves,99.0,46.0
46,Fluminense - RJ,PH GANSO,43' (1ºT),Paulo Henrique Chagas de Lima,10.0,810.0
46,Fluminense - RJ,German Cano,8' (2ºT),German Ezequiel Cano,14.0,324.0
47,Athletico Paranaense - PR,Christian,32' (2ºT),Christian Roberto Alves Cardoso,88.0,143.0
47,Athletico Paranaense - PR,Willian,45+5' (2ºT),Willian Gomes de Siqueira,11.0,1055.0
48,Vasco da Gama S.a.f. - RJ,Erick Marcus,34' (2ºT),Erick Marcus dos Santos Oliveira do Carmo,16.0,229.0
50,Atlético Mineiro - MG,Hulk,5' (2ºT),Givanildo Vieira de Sousa,7.0,335.0
50,Atlético Mineiro - MG,Pavon,26' (2ºT),Cristian David Pavon,9.0,149.0
50,Atlético Mineiro - MG,Paulinho,41' (2ºT),Paulo Henrique Sampaio Filho,10.0,813.0
50,Atlético Mineiro - MG,Hyoran,12' (1ºT),Hyoran Kaue Dalmoro,20.0,394.0
51,Fluminense - RJ,PH GANSO,10' (2ºT),Paulo Henrique Chagas de Lima,10.0,810.0
51,Fluminense - RJ,Nino,5' (1ºT),Marcilio Florencio Mota Filho,33.0,682.0
52,Santos - SP,Deivid Washington,28' (1ºT),,,
53,Palmeiras - SP,Artur,19' (2ºT),Artur Victor Guimaraes,14.0,72.0
53,Red Bull Bragantino - SP,J. Capixaba,26' (2ºT),Luis Antonio da Rocha Junior,29.0,646.0
54,Corinthians - SP,Roger Guedes,45+6' (1ºT),,,
54,São Paulo - SP,Michel Araujo,15' (1ºT),Michel Daryl Araujo Villar,15.0,765.0
55,Goiás - GO,Bruno,45+6' (1ºT),Bruno Araujo Santos,19.0,89.0
55,Goiás - GO,Bruno,45+6' (1ºT),Bruno Araujo Santos,13.0,90.0
55,Goiás - GO,Bruno,45+6' (1ºT),Bruno Ferreira Melo,19.0,97.0
55,Goiás - GO,Bruno,45+6' (1ºT),Bruno Ferreira Melo,13.0,98.0
55,Goiás - GO,Magno Jose,11' (2ºT),Magno Jose da Silva,2.0,671.0
55,Botafogo - RJ,Tiquinho,29' (1ºT),Francisco das Chagas Soares dos Santos,9.0,284.0
56,Atlético Mineiro - MG,Paulinho,45+4' (2ºT),Paulo Henrique Sampaio Filho,10.0,813.0
56,Atlético Mineiro - MG,Vargas,2' (1ºT),Eduardo Jesus Vargas Rojas,11.0,210.0
58,Athletico Paranaense - PR,Canobbio,45+7' (2ºT),Agustin Canobbio Graviz,14.0,13.0
58,Athletico Paranaense - PR,Pablo,3' (2ºT),Pablo Felipe Teixeira,92.0,799.0
58,Athletico Paranaense - PR,Willian,45' (2ºT),Willian Gomes de Siqueira,11.0,1055.0
59,Bahia - BA,Ademir,6' (2ºT),Ademir da Silva Santos Junior,0.0,2.0
59,Bahia - BA,Biel,35' (1ºT),Gabriel Teixeira Aragao,0.0,317.0
59,Flamengo - RJ,Matheus França,23' (1ºT),,,
59,Flamengo - RJ,Gabriel Barbosa,28' (1ºT),Gabriel Barbosa Almeida,10.0,294.0
59,Flamengo - RJ,David Luiz,45+4' (1ºT),David Luiz Moreira Marinho,0.0,172.0
60,Cruzeiro Saf - MG,Marlon,24' (2ºT),Marlon Rodrigues Xavier,3.0,702.0
60,Cruzeiro Saf - MG,Henrique Dourado,32' (1ºT),,,
60,Cruzeiro Saf - MG,Gilberto,38' (2ºT),Gilberto Oliveira Souza Junior,21.0,328.0
60,Cruzeiro Saf - MG,Gilberto,45' (2ºT),Gilberto Oliveira Souza Junior,21.0,328.0
61,Flamengo - RJ,Leo Pereira,45+3' (2ºT),Leonardo Pereira,4.0,581.0
62,Botafogo - RJ,Victor Cuesta,29' (2ºT),Victor Leandro Cuesta,15.0,988.0
63,São Paulo - SP,Beraldo,43' (2ºT),Lucas Lopes Beraldo,35.0,626.0
63,São Paulo - SP,Rodrigo Nestor,41' (1ºT),Rodrigo Nestor Bertalia,11.0,912.0
63,São Paulo - SP,Calleri,24' (1ºT),Jonathan Calleri,9.0,498.0
63,São Paulo - SP,Juan,45+2' (2ºT),Juan Santos da Silva,31.0,525.0
63,Vasco da Gama S.a.f. - RJ,Matias Galarza,38' (2ºT),,,
63,Vasco da Gama S.a.f. - RJ,Barros,44' (1ºT),Cauan Lucas Barros da Luz,88.0,139.0
65,Red Bull Bragantino - SP,Eduardo Sasha,16' (1ºT),Eduardo Colcenti Antunes,19.0,206.0
65,Red Bull Bragantino - SP,Thiago Borbas,40' (2ºT),Thiago Nicolas Borbas Silva,18.0,967.0
66,Cuiabá Saf - MT,Deyverson,36' (1ºT),Deyverson Brum Silva,16.0,179.0
67,Grêmio - RS,Bitello,20' (2ºT),,,
67,Grêmio - RS,Suarez,7' (1ºT),Luis Alberto Suarez Diaz,9.0,645.0
67,Grêmio - RS,Villasanti,31' (1ºT),Mathias Adalberto Villasanti Rolon,20.0,748.0
67,Internacional - RS,Joao Lucas,41' (2ºT),Joao Lucas de Souza Cardoso,30.0,458.0
68,Atlético Mineiro - MG,Hulk,45' (2ºT),Givanildo Vieira de Sousa,7.0,335.0
68,Atlético Mineiro - MG,Hyoran,35' (1ºT),Hyoran Kaue Dalmoro,20.0,394.0
69,Bahia - BA,Everaldo,25' (1ºT),Everaldo Stum,0.0,237.0
69,Goiás - GO,Bruno,31' (1ºT),Bruno Araujo Santos,19.0,89.0
69,Goiás - GO,Bruno,31' (1ºT),Bruno Araujo Santos,13.0,90.0
69,Goiás - GO,Bruno,31' (1ºT),Bruno Ferreira Melo,19.0,97.0
69,Goiás - GO,Bruno,31' (1ºT),Bruno Ferreira Melo,13.0,98.0
70,America Saf - MG,Breno Lemos,1' (1ºT),Breno Cascardo Lemos,0.0,83.0
70,America Saf - MG,Felipe Azevedo,32' (1ºT),Felipe Azevedo dos Santos,11.0,262.0
70,Fortaleza - CE,Pochettino,25' (1ºT),Tomas Pochettino,7.0,977.0
71,Flamengo - RJ,Ayrton Lucas,32' (1ºT),Ayrton Lucas Dantas de Medeiros,6.0,75.0
71,Cruzeiro Saf - MG,Marlon,5' (1ºT),Marlon Rodrigues Xavier,3.0,702.0
72,Botafogo - RJ,Junior,3' (1ºT),Jose Antonio dos Santos Junior,37.0,503.0
72,Botafogo - RJ,Luis Henrique,14' (2ºT),Luis Henrique Tomaz de Lima,11.0,658.0
73,São Paulo - SP,Pablo,11' (2ºT),Pablo Gonçalves Maia Fortunato,29.0,800.0
73,São Paulo - SP,David,45' (2ºT),David Correa da Fonseca,22.0,169.0
73,Goiás - GO,Magno Jose,28' (1ºT),Magno Jose da Silva,2.0,671.0
74,Corinthians - SP,Roger Guedes,13' (2ºT),,,
74,Corinthians - SP,Roger Guedes,45+1' (2ºT),,,
75,Red Bull Bragantino - SP,J. Capixaba,30' (2ºT),Luis Antonio da Rocha Junior,29.0,646.0
75,Red Bull Bragantino - SP,Vitinho,30' (1ºT),Vitor Hugo Naum dos Santos,0.0,1021.0
76,Atlético Mineiro - MG,Pavon,44' (1ºT),Cristian David Pavon,9.0,149.0
76,Palmeiras - SP,Dudu,6' (2ºT),Eduardo Pereira Rodrigues,7.0,213.0
77,Internacional - RS,WANDERSON,45+8' (2ºT),Wanderson Maciel Sousa Campos,11.0,1032.0
77,Internacional - RS,Joao Lucas,4' (2ºT),Joao Lucas de Souza Cardoso,30.0,458.0
78,Athletico Paranaense - PR,Vitor Roque,33' (1ºT),Vitor Hugo Roque Ferreira,9.0,1022.0
78,Grêmio - RS,Uvini,3' (2ºT),Bruno Uvini Bortolanca,15.0,107.0
78,Grêmio - RS,Cuiabano,30' (1ºT),Luis Eduardo Soares da Silva,0.0,649.0
79,Fortaleza - CE,Silvio Romero,45+3' (2ºT),Silvio Ezequiel Romero,18.0,947.0
79,Fortaleza - CE,Thiago Galhardo,41' (2ºT),Thiago Galhardo do Nascimento Rocha,91.0,963.0
80,Cuiabá Saf - MT,Fernando,3' (1ºT),Fernando Pereira do Nascimento,88.0,281.0
81,Fluminense - RJ,Felipe Melo,33' (1ºT),Felipe Melo de Carvalho,30.0,272.0
81,Fluminense - RJ,PH GANSO,27' (1ºT),Paulo Henrique Chagas de Lima,10.0,810.0
81,Red Bull Bragantino - SP,Thiago Borbas,8' (2ºT),Thiago Nicolas Borbas Silva,18.0,967.0
82,Vasco da Gama S.a.f. - RJ,Jair,12' (2ºT),Jair Rodrigues Junior,8.0,429.0
82,Flamengo - RJ,Ayrton Lucas,45+2' (1ºT),Ayrton Lucas Dantas de Medeiros,6.0,75.0
82,Flamengo - RJ,Erick Pulgar,14' (1ºT),Erick Antonio Pulgar Farfan,0.0,227.0
82,Flamengo - RJ,Gerson,16' (1ºT),Gerson Santos da Silva,20.0,325.0
82,Flamengo - RJ,Pedro,42' (1ºT),Pedro Guilherme Abreu dos Santos,9.0,824.0
83,Palmeiras - SP,Artur,29' (1ºT),Artur Victor Guimaraes,14.0,72.0
83,Palmeiras - SP,Rony,33' (1ºT),Ronielson da Silva Barbosa,0.0,925.0
83,Palmeiras - SP,Rony,27' (2ºT),Ronielson da Silva Barbosa,0.0,925.0
84,Santos - SP,Lucas Lima,11' (1ºT),Lucas Rafael Araujo Lima,23.0,632.0
84,Internacional - RS,Luiz Adriano,3' (1ºT),Luiz Adriano Souza da Silva,9.0,660.0
85,Cuiabá Saf - MT,Deyverson,8' (2ºT),Deyverson Brum Silva,16.0,179.0
86,Atlético Mineiro - MG,Hulk,26' (1ºT),Givanildo Vieira de Sousa,7.0,335.0
87,Grêmio - RS,Reinaldo,38' (1ºT),Reinaldo Manoel da Silva,0.0,869.0
87,Grêmio - RS,Cristaldo,30' (1ºT),Franco Sebastian Cristaldo,19.0,288.0
87,São Paulo - SP,Calleri,14' (1ºT),Jonathan Calleri,9.0,498.0
88,Athletico Paranaense - PR,Alex Santana,41' (1ºT),Alex Paulo Menezes Santana,0.0,27.0
90,America Saf - MG,Renato,41' (2ºT),Renato Marques de Oliveira Junior,0.0,875.0
90,America Saf - MG,Danilo,28' (2ºT),Danilo Fernando Avelar,22.0,164.0
91,Flamengo - RJ,Everton,23' (1ºT),Everton Sousa Soares,11.0,243.0
91,Flamengo - RJ,Bruno Henrique,45+5' (2ºT),Bruno Henrique Pinto,27.0,104.0
91,Flamengo - RJ,Pedro,19' (2ºT),Pedro Guilherme Abreu dos Santos,9.0,824.0
92,Botafogo - RJ,Tiquinho,45+2' (1ºT),Francisco das Chagas Soares dos Santos,9.0,284.0
92,Botafogo - RJ,Tiquinho,18' (2ºT),Francisco das Chagas Soares dos Santos,9.0,284.0
93,Palmeiras - SP,Gabriel Menino,10' (1ºT),Gabriel Vinicius Menino,25.0,320.0
93,Palmeiras - SP,Endrick,32' (2ºT),Endrick Felipe Moreira de Sousa,9.0,223.0
94,Corinthians - SP,RUAN,35' (2ºT),Ruan de Oliveira Ferreira,0.0,927.0
94,Cuiabá Saf - MT,Deyverson,9' (2ºT),Deyverson Brum Silva,16.0,179.0
95,Goiás - GO,Matheus Peixoto,45+1' (1ºT),,,
95,Goiás - GO,Alesson,40' (2ºT),Alesson dos Santos Batista,27.0,24.0
95,Fluminense - RJ,German Cano,2' (1ºT),German Ezequiel Cano,14.0,324.0
95,Fluminense - RJ,Lima,1' (2ºT),Vinicius Moreira de Lima,45.0,1003.0
96,Atlético Mineiro - MG,Paulinho,16' (1ºT),Paulo Henrique Sampaio Filho,10.0,813.0
96,Red Bull Bragantino - SP,Eduardo Sasha,35' (1ºT),Eduardo Colcenti Antunes,19.0,206.0
97,Internacional - RS,WANDERSON,16' (1ºT),Wanderson Maciel Sousa Campos,11.0,1032.0
97,Internacional - RS,Romulo,2' (1ºT),Romulo Zanre Zwarg,40.0,919.0
97,Vasco da Gama S.a.f. - RJ,Rayan,28' (1ºT),Rayan Vitor Simplício Rocha,0.0,868.0
99,Bahia - BA,Kayky Chagas,17' (1ºT),,,
